service_id,service_name,agency_id,service_type,pillar_id,pillar_name,active
SRV0100,City Council,AGC1000,Performance,5,Responsible Stewardship of City Resources,true
SRV0103,Council Services,AGC1100,Performance,5,Responsible Stewardship of City Resources,true
SRV0106,Legislative Reference Services,AGC3700,Performance,5,Responsible Stewardship of City Resources,true
SRV0107,Archives and Records Management,AGC3700,Performance,5,Responsible Stewardship of City Resources,true
SRV0109,Administration - Children and Family Success,AGC4309,Administrative,2,"Prioritizing Youth, Older Adults, and Vulnerable Communities",true
SRV0110,Circuit Court,AGC1311,Performance,1,Enhancing Public Safety,true
SRV0111,Economic Recovery,AGC4392,Performance,,,true
SRV0115,Prosecution of Criminals,AGC6900,Performance,1,Enhancing Public Safety,true
SRV0117,Adjudication of Environmental Citations,AGC4383,Performance,4,Equitable Economic Development,true
SRV0121,Contingent Fund,AGC4306,Performance,,,true
SRV0122,Miscellaneous General Expenses,AGC4311,Performance,,,true
SRV0123,General Debt Service,AGC4312,Performance,,,true
SRV0124,TIF Debt Service,AGC4315,Performance,,,true
SRV0125,Executive Direction and Control - Mayoralty,AGC4301,Administrative,5,Responsible Stewardship of City Resources,true
SRV0126,Contribution to Self-Insurance Fund,AGC4313,Performance,,,true
SRV0128,Labor Contract Negotiations and Administration,AGC4341,Administrative,5,Responsible Stewardship of City Resources,true
SRV0129,Conditional Purchase Agreement Payments,AGC4314,Performance,,,true
SRV0130,Executive Direction and Control - Comptroller,AGC1200,Administrative,5,Responsible Stewardship of City Resources,true
SRV0131,Audits,AGC1200,Performance,5,Responsible Stewardship of City Resources,true
SRV0132,Real Estate Acquisition and Management,AGC1200,Performance,4,Equitable Economic Development,true
SRV0133,Municipal Telephone Exchange,AGC1200,Performance,5,Responsible Stewardship of City Resources,true
SRV0136,Municipal Post Office,AGC1200,Performance,5,Responsible Stewardship of City Resources,true
SRV0148,Revenue Collection,AGC2300,Performance,5,Responsible Stewardship of City Resources,true
SRV0150,Treasury and Debt Management,AGC2300,Performance,5,Responsible Stewardship of City Resources,true
SRV0152,Employees' Retirement System - Administration,AGC2100,Administrative,5,Responsible Stewardship of City Resources,true
